id,currency,customer,total,date
in_1OMyTqIo6jaRQtI8JrOqschw,sek,cus_PBJZNTiqbJhl8q,"700,00",2022-01-06
in_1OMyEdIo6jaRQtI8jBZ5QXKa,sek,cus_PBJZ9ITSVHu9E9,"750,00",2022-01-06
in_1OMyesIo6jaRQtI8xiFE45WS,sek,cus_PBJZuwcBwFLsZD,"250,00",2022-01-06
in_1OMy9gIo6jaRQtI84t9jJzYU,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-01-08
in_1OMyU6Io6jaRQtI8c7UUUJPC,sek,cus_PBJZx8WmYaBVWS,"900,00",2022-01-08
in_1OMydIIo6jaRQtI8WiupqePE,sek,cus_PBJZNTiqbJhl8q,"150,00",2022-01-09
in_1OMyGVIo6jaRQtI8NOWO7ePg,sek,cus_PBJZ9ITSVHu9E9,"600,00",2022-01-09
in_1OMy98Io6jaRQtI8EWb82e6q,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-01-10
in_1OMyVpIo6jaRQtI8dsNh58sz,sek,cus_PBJZdcMynyxMsi,"600,00",2022-01-10
in_1OMycRIo6jaRQtI8KMnC3w7O,sek,cus_PBJZdcMynyxMsi,"300,00",2022-01-11
in_1OMyTDIo6jaRQtI8hxrY8lXG,sek,cus_PBJZ0mcbg0IMh6,"400,00",2022-01-12
in_1OMxMdIo6jaRQtI8vzbZxEdS,sek,cus_PBJZTcFMLxaoEX,"100,00",2022-01-13
in_1OMxMFIo6jaRQtI87mTfUYEG,sek,cus_PBJZTcFMLxaoEX,"400,00",2022-01-14
in_1OMyfAIo6jaRQtI8WQjMEyIe,sek,cus_PBJZUz0V1hSeN4,"700,00",2022-01-14
in_1OMyePIo6jaRQtI8NKGeuDRq,sek,cus_PBJZy1g5fHqeP7,"300,00",2022-01-15
in_1OMyVZIo6jaRQtI8eqyxXhc0,sek,cus_PBJZUz0V1hSeN4,"150,00",2022-01-16
in_1OMy68Io6jaRQtI8wb3mOpvg,sek,cus_PBJZUz0V1hSeN4,"900,00",2022-01-17
in_1OMyTeIo6jaRQtI8jsGCPCyQ,sek,cus_PBJZTcFMLxaoEX,"350,00",2022-01-19
in_1OMydrIo6jaRQtI8qjiiCVu4,sek,cus_PBJZy1g5fHqeP7,"300,00",2022-01-19
in_1OMyF4Io6jaRQtI89ReLCvzw,sek,cus_PBJZ9ITSVHu9E9,"400,00",2022-01-20
in_1OMydyIo6jaRQtI8XIWWDcFZ,sek,cus_PBJZ9ITSVHu9E9,"150,00",2022-01-21
in_1OMyVGIo6jaRQtI8a1puU0bw,sek,cus_PBJZdcMynyxMsi,"700,00",2022-01-23
in_1OMyEmIo6jaRQtI8MgAvZ62m,sek,cus_PBJZ9ITSVHu9E9,"500,00",2022-01-24
in_1OMy64Io6jaRQtI86bYXGiQV,sek,cus_PBJZUz0V1hSeN4,"750,00",2022-01-25
in_1OMxNXIo6jaRQtI81T99IMsc,sek,cus_PBJZv60BNrMCHK,"600,00",2022-01-25
in_1OMycUIo6jaRQtI8ZLJAuJEz,sek,cus_PBJZuwcBwFLsZD,"400,00",2022-01-25
in_1OMyUWIo6jaRQtI8A9DcdKgU,sek,cus_PBJZy1g5fHqeP7,"700,00",2022-01-25
in_1OMy6lIo6jaRQtI8IdNpA8Hi,sek,cus_PBJZUz0V1hSeN4,"600,00",2022-01-25
in_1OMy8BIo6jaRQtI8Dy1Rlozd,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-01-25
in_1OMyeDIo6jaRQtI8RyNhyZll,sek,cus_PBJZ9ITSVHu9E9,"300,00",2022-01-28
in_1OMxMmIo6jaRQtI838gm4jdj,sek,cus_PBJZ0mcbg0IMh6,"600,00",2022-02-03
in_1OMxMQIo6jaRQtI8YJ6kBHoj,sek,cus_PBJZ0mcbg0IMh6,"300,00",2022-02-04
in_1OMyENIo6jaRQtI8TzqAeUCr,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-02-05
in_1OMxMHIo6jaRQtI8a6X6n1j0,sek,cus_PBJZx8WmYaBVWS,"250,00",2022-02-06
in_1OMy9xIo6jaRQtI8qVhHqXBi,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-02-07
in_1OMy6CIo6jaRQtI8E1chfVwW,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-02-07
in_1OMycYIo6jaRQtI8hWS26z0T,sek,cus_PBJZdcMynyxMsi,"750,00",2022-02-10
in_1OMxMwIo6jaRQtI8DIEIbK06,sek,cus_PBJZ0mcbg0IMh6,"400,00",2022-02-11
in_1OMyG5Io6jaRQtI8o70xN6Am,sek,cus_PBJZ9ITSVHu9E9,"250,00",2022-02-11
in_1OMxMWIo6jaRQtI8CzoEENMH,sek,cus_PBJZy1g5fHqeP7,"200,00",2022-02-14
in_1OMyEAIo6jaRQtI8BD2jO1y9,sek,cus_PBJZ9ITSVHu9E9,"350,00",2022-02-16
in_1OMyF8Io6jaRQtI8xfbPXV9J,sek,cus_PBJZ9ITSVHu9E9,"350,00",2022-02-16
